cls_model,backend,search_alg,status,note
AutoTSMixerx,optuna,Ray_OptunaSearch,❌ Error,'dict' object is not callable...
AutoTSMixerx,optuna,Ray_HyperOptSearch,❌ Error,'dict' object is not callable...
AutoTSMixerx,optuna,None,❌ Error,'dict' object is not callable...
AutoTiDE,ray,Basic,✅ OK,
AutoTiDE,ray,Ray_OptunaSearch,✅ OK,
AutoTiDE,ray,Ray_HyperOptSearch,✅ OK,
AutoTiDE,ray,None,✅ OK,
AutoTiDE,optuna,Basic,❌ Error,You have to provide a function that takes a trial ...
AutoTiDE,optuna,Ray_OptunaSearch,❌ Error,You have to provide a function that takes a trial ...
AutoTiDE,optuna,Ray_HyperOptSearch,❌ Error,You have to provide a function that takes a trial ...
AutoTiDE,optuna,None,❌ Error,You have to provide a function that takes a trial ...
AutoTimeMixer,ray,Basic,✅ OK,
AutoTimeMixer,ray,Ray_OptunaSearch,✅ OK,
AutoTimeMixer,ray,Ray_HyperOptSearch,✅ OK,
AutoTimeMixer,ray,None,✅ OK,
AutoTimeMixer,optuna,Basic,❌ Error,'dict' object is not callable...
AutoTimeMixer,optuna,Ray_OptunaSearch,❌ Error,'dict' object is not callable...
AutoTimeMixer,optuna,Ray_HyperOptSearch,❌ Error,'dict' object is not callable...
AutoTimeMixer,optuna,None,❌ Error,'dict' object is not callable...
AutoTimeXer,ray,Basic,✅ OK,
AutoTimeXer,ray,Ray_OptunaSearch,✅ OK,
AutoTimeXer,ray,Ray_HyperOptSearch,✅ OK,
AutoTimeXer,ray,None,✅ OK,
AutoTimeXer,optuna,Basic,❌ Error,'dict' object is not callable...
AutoTimeXer,optuna,Ray_OptunaSearch,❌ Error,'dict' object is not callable...
AutoTimeXer,optuna,Ray_HyperOptSearch,❌ Error,'dict' object is not callable...
AutoTimeXer,optuna,None,❌ Error,'dict' object is not callable...
AutoTimesNet,ray,Basic,✅ OK,
AutoTimesNet,ray,Ray_OptunaSearch,✅ OK,
AutoTimesNet,ray,Ray_HyperOptSearch,✅ OK,
AutoTimesNet,ray,None,✅ OK,
AutoTimesNet,optuna,Basic,❌ Error,You have to provide a function that takes a trial ...
AutoTimesNet,optuna,Ray_OptunaSearch,❌ Error,You have to provide a function that takes a trial ...
AutoTimesNet,optuna,Ray_HyperOptSearch,❌ Error,You have to provide a function that takes a trial ...
AutoTimesNet,optuna,None,❌ Error,You have to provide a function that takes a trial ...
AutoVanillaTransformer,ray,Basic,✅ OK,
AutoVanillaTransformer,ray,Ray_OptunaSearch,✅ OK,
AutoVanillaTransformer,ray,Ray_HyperOptSearch,✅ OK,
AutoVanillaTransformer,ray,None,✅ OK,
AutoVanillaTransformer,optuna,Basic,❌ Error,You have to provide a function that takes a trial ...
AutoVanillaTransformer,optuna,Ray_OptunaSearch,❌ Error,You have to provide a function that takes a trial ...
AutoVanillaTransformer,optuna,Ray_HyperOptSearch,❌ Error,You have to provide a function that takes a trial ...
AutoVanillaTransformer,optuna,None,❌ Error,You have to provide a function that takes a trial ...
AutoiTransformer,ray,Basic,✅ OK,
AutoiTransformer,ray,Ray_OptunaSearch,✅ OK,
AutoiTransformer,ray,Ray_HyperOptSearch,✅ OK,
AutoiTransformer,ray,None,✅ OK,
AutoiTransformer,optuna,Basic,❌ Error,'dict' object is not callable...
AutoiTransformer,optuna,Ray_OptunaSearch,❌ Error,'dict' object is not callable...
AutoiTransformer,optuna,Ray_HyperOptSearch,❌ Error,'dict' object is not callable...
AutoiTransformer,optuna,None,❌ Error,'dict' object is not callable...
AutoxLSTM,ray,Basic,✅ OK,
AutoxLSTM,ray,Ray_OptunaSearch,✅ OK,
AutoxLSTM,ray,Ray_HyperOptSearch,✅ OK,
AutoxLSTM,ray,None,✅ OK,
AutoxLSTM,optuna,Basic,❌ Error,You have to provide a function that takes a trial ...
AutoxLSTM,optuna,Ray_OptunaSearch,❌ Error,You have to provide a function that takes a trial ...
AutoxLSTM,optuna,Ray_HyperOptSearch,❌ Error,You have to provide a function that takes a trial ...
AutoxLSTM,optuna,None,❌ Error,You have to provide a function that takes a trial ...
